Alloy,Ultimate Tensile Strength,Melting Point,Thermal Conductivity,Density,Elongation,Hardness,Specific Heat,Mean Coefficient of thermal Exapansion,Elastic Modulus,Output
ATI 218 plus,1480,1343,13.7,8.25,25,48,0,0,0,1
Astroloy,0,1399,0,7.92,0,0,120,7.5,0,1
Hastelloy X,755,1316,9.1,8.22,0,87,0,13,0,1
Hastelloy S,1100,1360,14,8.75,46,0,0,11.5,212,1
Nimonic 80A,1250,1365,0,8.19,30,0,0,0,222,1
Nimonic 105,1150,1327,10.89,8.01,25,0,0,12.2,0,1
Nimonic 115,1300,1304,10.6,7.85,25,0,0,12,0,1
Nimonic 263,940,1355,11.7,8.36,39,0,0,10.3,0,1
Nimonic 75,750,0,0,8.37,42,0,0,0,206,1
Nimonic 90,800,1344,11.47,8.18,0,0,0,12.7,213,1
Inconel 600,676,1413,14.9,8.43,40,0,0,14,207,1
Inconel 718,965,1430,6.5,8.22,0,0,0,0,0,1
Inconel 625,993,1350,14.1,8.44,44,120,0,13.3,0,1
Inconel 700,0,1400,55.4,8,0,0,456,17.1,0,1
Inconel 601,550,1370,0,8.1,0,0,461,0,0,1
Nickel 200,462,1446,70.2,8.89,45,0,0,13.3,0,0
Nickel 201,403,1446,79.3,8.89,50,0,0,13.1,0,0
Nickel 99.2,450,1440,69,8.9,0,0,0,13.5,0,0
Pernifer 36,500,1430,0,8.11,0,0,0,2.6,0,0
Invar 42,490,1435,16.8,8.36,40,130,0,0,0,0
Multimet N155,125,1354,17.3,8.25,40,0,0,16.4,168,0
Vascomax c250,0,0,0,8.02,0,0,0,0,0,0
Ni Span C 902,800,1480,0,8.05,0,0,500,0,200,0
AISI 20Mo4,655,1422,44.5,7.85,0,204,0,0,210,0
AISI 20Mo6,515,0,16.2,7.8,40,0,500,17.5,210,0
C-1023,425,1650,51.9,7.858,15,140,0,0,190,0
C-101,0,1083,0,8.92,0,110,0,16.9,117,0
D-979,0,1390,12.6,8.25,0,0,0,13.7,0,0
D-205,786,0,0,0,56.5,0,0,0,0,1
Monel 400,620,0,0,8.8,0,0,0,0,179,0
