Alloy,Cr,Co,Mo,W,Ta,Nb,Al,Ti,Fe,C,B,Zr,Re,Hf,Mn,Si ,La,Y,V,P,S,Cu,O,Ni,Output
ATI 718Plus,19,9,2.8,1.1,0,5.6,1.45,0.75,9,0.025,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,51.2695,1
Waspaloy,19.5,13.5,4.3,0,0,0,1.3,3,0,0.08,0.006,0.06,0,0,0,0,0,0,0,0,0,0,0,58.254,1
Nimonic 115,15,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
PWA 1484,5,10,2,6,9,0.5,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,64.2,1
Rene 41,19,11,10,0,0,0,1.5,3.1,0,0.09,0.05,0,0,0,0,0,0,0,0,0,0,0,0,55.26,1
Nimonic 80A,19.5,1.1,0,0,0,0,1.3,2.5,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,75.54,1
PWA 1480,10,5,0,4,12,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,1
B1900,8,10,6,0,4.3,0,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,70.6,1
WSU 150,17.83,9.29,5.3,1.33,0.9,0.45,2.44,2.75,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,59.62,1
Inconel 901,12.5,0,6,0,0,0,0.35,2.73,33.68,0.1,0.015,0,0,0,1,0.6,0,0,0,0,0.03,0.5,0,42.495,1
Nimonic 105,14.5,20,5,0,0,0,0,1.2,4.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,54.6,1
Inconel 725,20.75,0,8.25,0,0,3.375,0.35,1.35,8.2,0.03,0,0,0,0,0.35,0.2,0,0,0,0.15,0.01,0,0,56.985,1
Inconel 722,15.5,0,0,0,0,0,0.7,2.375,7,0.08,0,0,0,0,1,0.07,0,0.01,0,0,0,0.5,0,72.765,1
Udimet 710,17.7,15.1,3,1.4,0,0,2.4,4.8,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,55.52,1
Hastelloy S,15.5,0,14.5,0,0,0,0.2,0,1,0.02,0.009,0,0,0,0,0,0.02,0,0,0,0,0,0,68.751,1
Rene N5,7,8,2,5,7,0,6.2,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,61.6,1
SRR99,8.5,5,0,9.5,2.8,0,5.5,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,1
Udimet 500,18,18.5,4,0,0,0,2.9,2.9,0,0.08,0.006,0.05,0,0,0,0,0,0,0,0,0,0,0,53.564,1
Inconel 939,22.4,18,0,2,1.3,1,0,3.75,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,51.35,1
Inconel 754,21,0,0,0,0,0,0.35,0.45,2.5,0.05,0,0,0,0,0,0,0,0.473,0,0,0,0,0.127,75.05,1
Inconel 738,16,8.5,1.75,2.6,1.75,0.9,0,3.4,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,64.95,1
Inconel 792,12,9,2,4.1,4,0.5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63.4,1
Inconel 702,15.5,0,0,0,0,0,3.25,0.625,2,0.1,0,0,0,0,1,0.7,0,0,0,0,0.01,0.5,0,76.315,1
SX792,12,8,2,4,5,0,3.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.4,1
Inconel 706,16,0,0,0,0,2.9,0.4,1.75,0,0.06,0.006,0,0,0,0.35,0.35,0,0,0,0.02,0.015,0,0,78.149,1
CMSX2,8,4.6,0.6,7.9,5.8,0,5.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,1
Inconel 713,13,0,4.5,0,0,2.3,5,0.75,2.5,0.14,0.01,0.1,0,0,0.25,0.5,0,0,0,0,0,0,0,70.95,1
Inconel 625,22,0.1,9,0,0,3.5,0.1,0.2,3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,62.09,1
Inconel 825,21.5,0,3,0,0,0,0.2,0.9,28.5,0.05,0,0,0,0,1,0.5,0,0,0,0.03,0.03,2.25,0,42.04,1
Inconel 690,29,0,0,0,0,0,0,0,9,0.05,0,0,0,0,0.5,0.5,0,0,0,0,0.015,0.5,0,60.435,1
MA758,30,0,0,0.5,0,0,0.3,0,0,0.05,0,0,0,0,0,0,0,0.6,0,0,0,0,0,68.55,1
Alloy C-276,15.5,2.5,16,3.75,0,0,0,0,5.5,0.01,0,0,0,0,1,0.08,0,0,0.35,0.4,0.03,0,0,54.88,1
Hastelloy C-276,15.67,0,15.83,3.34,0,0,0,0,6.28,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,58.46,1
Inconel 718,18.6,0,3.1,0,0,5,0.4,0.9,18.5,0.04,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,52.96,1
Alloy 718,19,1,3.05,0,0,5.125,0.5,0.9,16.54,0.08,0.006,0,0,0,0.35,0.35,0,0,0,0.15,0.15,0.3,0,52.499,1
MAR-M247,8,10,0.7,10,3,0,6,1,0,0.15,0.015,0.05,0,0,0,0,0,0,0,0,0,0,0,61.085,1
CM 247 LC,8.1,9.2,0.5,9.5,3.2,0,5.6,0.7,0,0.07,0.015,0.015,0,1.4,0,0,0,0,0,0,0,0,0,61.7,1
Inconel 700,15,28.5,3.75,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
Udimet 520,19,13,6,1,0,0,2,3,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,55.93,1
Inconel 617,22,12.5,9,0,0,0,1.15,0.6,1.5,0.1,0.006,0,0,0,1,1,0,0,0,0,0.015,0.5,0,50.629,1
